gym_id,Gym Name,Owner Name,Phone Number,Email,Address,Functionality description,insights,Ratings and reviews,Establishment date
PLI-022,Xpert Fitness Gym,Not publicly listed,,,"Ghoshi Samaj Complex, Mandia Road, Near Bhati Market, Mandia, Pali Marwar, Rajasthan 306401","Established fitness gym in Ghoshi Samaj Complex on Mandia Road near the famous Bhati Market in Mandia. Est. 2012 — one of Pali's oldest continuously running gyms. Services include strength training, cardio, CrossFit, personal training, and bodybuilding. Open standard gym hours.","Established 2012 per Justdial. 4.5/5 Justdial (35 ratings, 12 photos). Located in Ghoshi Samaj Complex near Bhati Market, Mandia — Mandia is a key suburb on Mandia Road (Pali's main commercial artery). Bhati Market is a well-known Pali commercial hub. The Ghoshi Samaj Complex is a community building of the Ghoshi (milkmen) community. Est. 2012 makes it one of the 3 oldest verified gyms in Pali (alongside John's Gym est. 2011 and NFC est. 2011).",4,2012-01-01
PLI-021,Ma Plaza Gym (Ambedkar Circle),Not publicly listed,,,"Ma Plaza, Ambedkar Circle, Pali Marwar, Rajasthan 306401","Highly rated gym in Ma Plaza at Ambedkar Circle — one of Pali's most central and busy intersections. Services: CrossFit, Strengthening Exercises, Personal Training, and group fitness. Open standard hours. The 'Ma Plaza' commercial building at Ambedkar Circle is a well-known landmark in Pali city.","4.8/5 Justdial (46 ratings) — strong rating at a premium city-centre location. Justdial confirms 'Show Number' availability. Listed in Justdial Top Gyms Pali Marwar. Ma Plaza at Ambedkar Circle is one of Pali's most prominent commercial addresses — maximum visibility. Ambedkar Circle is a major traffic roundabout in Pali named after Dr. B.R. Ambedkar, one of Pali's most trafficked junctions connecting multiple key roads.",5,2021-01-01
PLI-023,F3 Gym & Fitness Centre (Veer Durga Das Nagar),Not publicly listed,,,"Veer Durga Das Nagar, Pali City, Pali Marwar, Rajasthan 306401","Full-service gym in Veer Durga Das Nagar offering CrossFit, cardio, strengthening exercises, and 5+ service categories. Distinct from F3 Muscle Factory (near Bangur College) — a separate F3-branded gym. Serves VDD Nagar's government officers, professionals, and residents. Open standard hours.","4.7/5 Justdial (71 ratings, 4 photos). Listed in Justdial Top Gyms Pali Marwar as 'F3 Gym & Fitness Centre, Veer Durga Das Nagar.' Distinct from F3 Muscle Factory at Bangur College and F3 Gym in Marwar Junction — three separate gyms sharing the F3 brand. VDD Nagar has 42 gyms per Justdial — Pali's most gym-dense zone. 4.7/71 is a strong rating in this competitive area. Also rated 4.3/5 with 80 ratings on another Justdial listing.",5,2018-01-01
PLI-001,John's Gym (Vol-1 & Vol-2),John (Owner),+91-99724-32977,,"Kalu Ki Bagechi, Jalori Darwaja, Main Mandia Road, Naya Gaon, Pali Marwar, Rajasthan 306401","Pali's #1 most-reviewed gym with two branches (Vol-1 and Vol-2). Services: Weight Loss, Personal Training, Diet Nutrition Plan, Aerobics, Yoga, Zumba, Slimming Treatment, CrossFit, Swimming Pool, Music System, Changing Room. Open Mon-Sat 5:30am-10:30am & 4pm-11:30pm. Sunday Closed. Responds in 15 mins on Justdial. Swimming Pool is one of only 2 in all of Pali's gym market.","Phone: +91-99724-32977 (publicly listed on Justdial — 09972432977). 5.0/5 Justdial (272 ratings, 69 photos) / also listed 4.9/58 ratings on another listing. 6 recent enquiries. 5bestincity.com Top 5 Gyms Pali. Magicpin listed. Facebook: Johns Gym Pali. Located at Kalu Ki Bagechi, Jalori Darwaja, Main Mandia Road, Naya Gaon. The 272 Justdial ratings is extraordinary for a Tier-3 city. Swimming Pool is a unique differentiator alongside John's Gym being one of Pali's oldest gyms (est. 2011).",5,2011-01-01
PLI-002,Diesel Gym,Not publicly listed,+91-90249-70018,,"Opposite Mata Rani Bhatiyani Mandir, Ramdev Road, Gandhi Colony, Pali Marwar, Rajasthan 306401","Premium fitness centre in Gandhi Colony on Ramdev Road. Open 24 hours. Services: Weight Training, Cardio, CrossFit, Group Classes, Personalised Training, Nutrition Plans, Swimming Pool. Located opposite the iconic Mata Rani Bhatiyani Mandir near Police Chowki. One of Pali's rare 24-hour gyms with a swimming pool.","Phone: +91-90249-70018 (verified 5bestincity.com). 5.0/5 Justdial (218 ratings, 23 photos) — perfect score. 5bestincity.com Top 5 Gyms Pali. Swimming Pool and 24-hour operation are unique differentiators. Opposite Mata Rani Bhatiyani Mandir — one of the most revered temples in Pali, ensuring maximum landmark visibility and religious community footfall.",5,2020-01-01
PLI-003,Platinum Fitness Club,Not publicly listed,+91-96101-49020,,"10 Ga, Near Karni Mata Mandir, Shreyansh Nagar, Tagore Nagar, Pali, Rajasthan 306401","Top-rated fitness club near Karni Mata Mandir in Shreyansh Nagar. Offers Body Weight Gain, Body Weight Loss, Body Building, Personal Training, Body Fitness, Diet & Nutrition Plans. Open 7 days a week 5:00am–7:30am. 1.72 km from Pali Marwar railway station.","Phone: +91-96101-49020 (verified via 5bestincity.com and Yappe). 5.0/5 Yappe (8 reviews) + 4.7/5 Justdial (9 ratings, 8 photos). 5bestincity.com Top 5 Gyms Pali. Health & Beauty shop, fitness centre, nutrition counsellor. Near Karni Mata Mandir in Tagore Nagar/Shreyansh Nagar. Open 7 days a week 5:00am-7:30am. 1.72 km from Pali Marwar railway station.",5,2021-01-01
PLI-004,F3 Muscle Factory Fight For Fitness,"Trainers: Ravi Sindhi, Ruby Tomar, Parag (Head Trainers)",,,"Shivaji Circle, Near Ganpati Asha Apartment, Bangur College Road, Pali, Rajasthan 306401","Full name: F3 Muscle Factory Fight For Fitness. Premium gym at Shivaji Circle near Bangur College. Trainers: Miss Ruby Tomar, Parag Sir, and Ravi Sindhi (specifically praised in reviews). Excellent equipment range. Takes member feedback to personalise fitness targets. Services: Bodybuilding, Strength Training, CrossFit, Cardio, Personal Training.","4.5/5 Justdial (29 ratings) / 4.5/5 Yappe (28 reviews). Trainer Ravi Sindhi is described as 'most supportive trainer who always motivates.' Miss Ruby Tomar and Parag Sir also praised. Located at Shivaji Circle, Bangur College Road — 0.18 km from Pali Marwar railway station (one of the closest gyms to the station). Near Ganpati Asha Apartment. 'Fight For Fitness' is the full brand tagline. Bangur College (Govt. S.R.N. Rajkiya Mahavidyalaya) is Pali's largest government college.",4,2019-01-01
PLI-005,Rahul Fitness Trainer (Mahaveer Nagar),Rahul (Trainer/Owner),+91-94601-77812,,"Mahaveer Nagar, Nehru Nagar, Pali Marwar, Rajasthan 306401","Personal trainer-led fitness programme in Mahaveer Nagar. Offers personalised one-on-one training as the primary service (34+ categories on Justdial). Services include CrossFit, bodybuilding, personal training, and tailored workout plans. Trainer Rahul personally coaches each member.","5.0/5 Justdial (92 ratings, 34+ service categories) — perfect score. 'Get Your Own Trainer' is the primary pitch — personal training model rather than a conventional gym. 34+ Justdial service categories is exceptionally high for a personal trainer in a Tier-3 city. Mahaveer Nagar is named after Bhagwan Mahavira of Jainism — Pali has a significant Jain community (Pali is known for its ancient Jain temples). Serves Mahaveer Nagar and Nehru Nagar communities. Owner/trainer Rahul's name branding creates personal accountability.",5,2020-01-01
PLI-006,Namo Fitness,Trainer: Ajay (Head Trainer),,,"2nd Floor, Bhangesar Road, Opp. Mahadev Bagechi, Rajendra Nagar Vistar, Bhangesar, Pali Marwar, Rajasthan 306401","Aerobics-led fitness centre on the 2nd floor opposite Mahadev Bagechi (Shiva Garden). Services: Aerobics, Strengthening Exercises, Personal Training, Weight Gain Program, CrossFit. Trainer Ajay delivers exceptional personalised sessions. Closed Sunday. 1.81 km from Pali Marwar railway station.","4.9/5 Yappe (70 reviews) + 4.8/5 Justdial (74 ratings, 11 photos). Head trainer Ajay is specifically praised in reviews. Member review: 'Namo fitness has been awesome to me. Their trainer Mr. Ajay are exceptional, the overall vibe is great.' No negative comments on Justdial. Listed in 5bestincity Top 5 Gyms Pali. 1.81 km from Pali Marwar railway station. Opposite Mahadev Bagechi — a Shiva-temple garden that is a beloved community landmark in Bhangesar, Pali.",5,2023-01-01
PLI-007,Falna Fitness Centre (Sripal Nagar),Not publicly listed,,,"Sripal Nagar, Falna, Pali District, Rajasthan 306116","High-rated gym in Sripal Nagar, Falna — a key town in Pali district 40 km from Pali city on the Ahmedabad-Delhi railway line. Offers CrossFit, Zumba, personal training, and comprehensive strength and cardio services.","4.5/5 Justdial (87 ratings). Falna is a major junction town in Pali district on the Western Railway line — a strategic commercial and transit hub. Sripal Nagar, Falna has 4.5/87 on Justdial and 4.8/15 on another listing. Falna is also the nearest railway station to the famous Ranakpur Jain Temple (a UNESCO-nominated site) — bringing fitness-conscious tourists and pilgrims. Strong community base in Falna's growing residential zones.",5,2018-01-01
