gym_id,Gym Name,Owner Name,Phone Number,Email,Address,Functionality description,insights,Ratings and reviews,Establishment date
UDR-032,Power House Fitness Gym,Kapil Tank,+91-70148-56714,,"Sagar Complex, Kalka Mata Mandir Road, Near Upadhyay Garden, Maharshi Colony, Gandhi Nagar, Udaipur, Rajasthan 313001 (Near Rana Pratap Railway Station)","Results-driven fitness gym committed to excellence. Provides an excellent working environment with high-quality equipment and accessories. Strives to match worldwide fitness standards. Free on-staff general training included in membership. Certified and experienced trainers. Services: weight training, CrossFit, cardio, personal training, diet/nutrition guidance. Closed Sunday.","Owner: Kapil Tank. 5.0/5 Google (32 reviews on Yappe), 4.9/5 Justdial (53-58 ratings, 29 photos). FITPASS partner. Guiding principle: accomplish things properly or not at all. Worldwide quality standards. Member review: 'combination of talented trainers, top class machines, and best state-of-art facilities really makes it easy to keep coming back.' Facebook: powerhouse.udaipur. Located near Rana Pratap Railway Station — 1.17 km away.",5,1/1/2022
UDR-033,Audichya's Fitness Hub,Audichya (Owner),,,"2nd Floor, Airport Road, Opposite GR Heights Bus Stand, Near Rajasthan Patrika, Above Bank of Baroda, Sunderwas, Udaipur, Rajasthan 313001","Well-established gym on Airport Road in Sunderwas offering comprehensive fitness services. Services include strength training, cardio, personal training, and group fitness programs. Conveniently located above Bank of Baroda on the important Airport Road corridor of Udaipur, near Rajasthan Patrika office. Open standard gym hours.","4.6/5 Justdial (338 ratings, 109 photos) — one of the most visually documented gyms in Udaipur on Justdial. Located on Airport Road, Sunderwas — one of Udaipur's key arterial roads connecting the city to the airport. Above Bank of Baroda near Rajasthan Patrika provides excellent landmark visibility. Listed on Yappe and Doclists top-40 fitness centres in Udaipur.",5,4/13/2014
UDR-031,Fitness Zone Gym Udaipur,Not publicly listed,+91-97852-28815,,"Opp. to 61, JP Nagar, Hiran Magri Sector 8, Behind Baroda Nursery, Udaipur, Rajasthan 313001","Modern unisex gym with top-quality fitness equipment and professional gym trainers. Offers weight loss, weight gain, fitness training, cardio, strength training, and personalised workout plans for males and females. Safe and supportive environment for female members. Open Mon-Sat 5:30am-10pm.","Outstanding 4.9/5 Google rating with 247+ reviews (Yappe). 4.8/5 Justdial (246 ratings, 20 photos). Billed as 'best gym in city of lakes Udaipur' in Hiran Magri Sector 8. Located 1.95 km from Udaipur railway station. Unisex gym with female safety focus. FITPASS partner. Listed on Acche Vibes, Magicpin, and Justdial. One of the highest-rated gyms in all of Udaipur by review quality.",5,3/27/2018
UDR-001,Healthline Fitness Studio,Dr. Vyom Bolia,+91-99285-68676,drvyom@gmail.com,"3rd Floor, Govardhan Plaza, Opp. Lok Kala Mandal, Panchwati, Udaipur, Rajasthan 313001","Premier holistic fitness and physiotherapy centre. Services include Personal Training, Medical Gym, Physiotherapy, Chiropractor, Acupuncture, Cupping, Yoga, Zumba, Group Classes, Weight Management, Nutrition Planning, Spa, Steam, and Massage Therapy. 45+ physios and fitness professionals on staff. Open Mon-Sat 6am-10pm, Sun 7am-11am.","Founded by Dr. Vyom Bolia in 2008 as a physiotherapy clinic, expanded to fitness studio in 2010. Unique combination of gym + advanced physiotherapy + medical gym under one roof — unmatched in Udaipur. 4.9/5 on Yappe (214 reviews), 4.8/5 Justdial (24 ratings). 45+ member team. FITPASS partner. Serves 1000+ members. Website: healthlineudaipur.com. Alt phone: +91-76655-51678.",5,1/1/2010
UDR-002,4Sure Fitness,Not publicly listed,+91-72328-26777,,"2nd Floor, Shobhagpura Circle, Ratneshwar Colony, Pulla Bhuwana, Maharana Partap Enclave, Shobhagpura, Udaipur, Rajasthan 313001","Largest gymnasium in Udaipur. Offers weight training, cardio, functional training, CrossFit, yoga, Zumba, aerobics, and group classes. State-of-the-art machines, personalized attention, experienced trainers and coaches. Weight Gain Program, Weight Loss Program, Bodybuilding, CrossFit, Nutrition Diet Plan. Open Mon-Sat 6am-12pm & 5pm-9pm, Sun 8am-12pm.","Established 2016. Claims to be the largest gymnasium in Udaipur. 4,261+ Facebook likes, 1,382 check-ins. Listed among Top 5 gyms in Udaipur by 5bestincity.com. Clean, well-maintained facilities with dedicated area for group classes. Website: 4surefitness.com. Serves athletes, fitness enthusiasts and beginners.",5,1/1/2016
UDR-003,Anytime Fitness Udaipur,Anytime Fitness Franchisee,+91-92162-33667,,"Apex Chamber, 4C, Madhuban, Near Lok Kala Mandal, Udaipur, Rajasthan 313001","World's largest gym chain. Open 24/7 — complete round-the-clock access. Offers Cardio, Strength Training, Functional Training (Battle Ropes, BOSU, TRX, Kettlebells), Aerobics, Yoga, Personal Training, Small Group Training, Fitness Assessment. 24-hr security, private restrooms, showers, parking. Global reciprocity: access to 5,500+ gyms worldwide.","Part of Anytime Fitness global chain (world's largest, 5,500+ clubs in 40+ countries). 4.5/5 Justdial (662 ratings, 30 photos). Trainer Rakesh Sisodiya on staff. Open truly 24/7 (midnight to midnight). Facebook: af.udaipur (1,913 likes, 573 check-ins). Instagram: @af_udaipur. Listed as preferred gym of athletes, bodybuilders, celebrities and fitness enthusiasts. Specialties: Diet Counseling, Zumba, Pilates, Aerobics, Weight Gain/Loss Programs.",5,1/1/2019
UDR-004,Oxygen Plus Gym & Spa,Not publicly listed,+91-75979-74499,,"R.K. Circle, Shobhagpura Road, Near Rishabh Travels, Udaipur, Rajasthan 313001","8,400 sq.ft. premium gym and spa. Offers Cardio, Aerobics, Yoga, Zumba, CrossFit, Cycling Club, Personal Training, Weight Gain/Loss Program. International quality Impulse fitness equipment. Spa services including massages, facials, body treatments. Open 24 hours, 7 days.","One of the biggest gyms in Udaipur — 8,400 sq.ft. facility. 4.4/5 Yappe (168 reviews). Vision: 'Healthy India, Healthy World.' Impulse international brand fitness equipment. Listed among Top 5 best gyms in Udaipur by 5bestincity.com. Also listed at: 48, ABC, 2nd Floor, R.K. Mall, Panchwati, Udaipur (older address). Instagram: @oxygenplusgymudaipur. Website: oxygenplusgymandspa.com. 24/7 operation is a key differentiator.",4,1/1/2018
UDR-005,Gymnation By Shashikant,Shashikant Dahima,,,"2nd Floor, University Road, Above Neha Nursing Home, North Ayad, Ganapati Nagar, Udaipur, Rajasthan 313001","Full-service gym offering Personal Training, Weight Training, Calisthenics, Modern Equipment, and Fitness Programs. 24-hour gym operation (Mon-Sat), closed Sunday. Has shaped 700+ clients since founding. Personalized training for all fitness levels from beginners to advanced athletes.","Founded by Shashikant Dahima. Listed among Top 5 gyms in Udaipur by 5bestincity.com. Has trained 700+ clients. Specialises in Calisthenics alongside conventional weight training — a differentiator in the Udaipur market. Open 24 hours Mon-Sat, closed Sunday. Listed on FITPASS platform. Located in Ganapati Nagar/North Ayad — a growing residential zone near Udaipur University.",4,1/1/2018
UDR-006,Five Town Club (FTC Fitness Studio),Not publicly listed,+91-90012-55555,,"4th Floor, Amrit Plaza, Sardar Patel Marg, Opp. B.N. Girls College, Subhash Nagar, Udaipur, Rajasthan 313001","One of Udaipur's oldest and most established gyms. Offers Cardio, Strength, Endurance, CrossFit, Aerobics, Zumba, Yoga, Group Fitness Sessions, Social Dancing, Steam Bath, Diet Kitchen, and Thai Spa. Catering to all genders and age groups. Non-refundable, non-transferable memberships. Website: fivetownclub.com.","Established 2011 — one of the oldest continuously operating gyms in Udaipur. 4.6/5 Yappe (132 reviews). Facebook: 1,137 likes, 1,509 check-ins. Near Udaipur City railway station (0.45 km). Member describes it as 'constantly advancing' despite age and competition. Unique combination of Thai Spa and Diet Kitchen alongside full gym. 24/7 operation. Website: fivetownclub.com.",5,1/1/2011
UDR-007,Rnold Fitness Club,Not publicly listed,+91-91191-16169,,"Plot No. 1179, 3rd Floor, Above First Cry, Sector No. 11, Hiran Magri, Udaipur, Rajasthan 313001 | Branch 2: Plot No. 5, 80 Feet Main Road, Near Sanskar-II, Udaipur | Branch 3: 3rd Floor, Above SBI Bank, Near Paras Choraha, Hiran Magri Sector 11","Multi-branch fitness centre with certified professional trainers. Offers group fitness classes, indoor cycling, cardio equipment, station super-circuits, free weight training, personal training, weight loss and body transformation programs. Trainers push members to their maximum limits for best results. Open Mon-Sat 6am-12pm & 4pm-11pm, Sunday Closed.","Multi-branch gym in Udaipur (Hiran Magri Sector 11 and 80 Feet Road). Alt phones: +91-80058-81438, +91-86964-25866. 5.0/5 FITPASS rating (4 reviews). Listed in top gym guides across Udaipur. Professional certified trainers known for pushing members to achieve their best results. One-stop destination for weight loss, muscle gain, and body transformation. Ranked among top 10 gyms in Udaipur by multiple directories.",4,1/1/2015
