gym_id,Gym Name,Owner Name,Phone Number,Email,Address,Functionality description,insights,Ratings and reviews,Establishment date
JDH-011,Gold's Gym Jodhpur,Anil Sotwal,+91 86969 44444,,"Akhaliya Circle, Opposite Raja Motors, Pratap Nagar, Jodhpur, Rajasthan 342003","International franchise gym (now under Cult.fit India) offering comprehensive strength training, cardio, Zumba, aerobics, and 108+ fitness activities. Features AC, music system, showers, locker rooms, changing rooms (separate for men and women), valet parking, TV, rubber flooring, and medical kit. Open Mon–Sat 6 AM–10 PM, Sun 8 AM–12 PM.","Established in Jodhpur in 2015 as part of the Gold's Gym India franchise (now owned by Cult.fit after Feb 2022 acquisition). One of India's most recognized fitness brand names with 140+ outlets across 90+ cities. Reviews are mixed — praised for equipment quality and brand recognition, but criticized for trainer attentiveness and management attitude. Rated 3.9/5 on Google with 230 reviews. Listed as 'closed down' on Justdial, possibly rebranded or relocated.",4,1/1/2015
JDH-013,Sky Fit Gym,Sky Fit Gym Owner,+91 81122 11437,,"3rd A Road, Sardarpura, Jodhpur, Rajasthan 342001","Premium unisex gym in Sardarpura with modern, high-standard equipment. Offers personalized workout programs for both beginners and advanced fitness enthusiasts. Key trainer Suraj Sir known for knowledgeable and supportive guidance. Maintains high hygiene standards throughout. Morning (6 AM–1 PM) and evening (5–9:45 PM) sessions, Mon–Sat.","Consistently holds a perfect 5.0-star rating on Google with 200 reviews — among the highest-rated gyms in Jodhpur. Located in the prime Sardarpura commercial area, attracting urban professionals and students. Members frequently highlight the welcoming onboarding process and top-tier machine quality. Strong reputation for motivating environment and hands-on trainer support.",5,1/1/2022
JDH-012,Crossxfit Gym,Adil Khan,+91 98291 83992,,"6-A, New Power House Road, near Deora Hyundai, Sector-H, Shastri Nagar, Jodhpur, Rajasthan 342003","Spacious, well-lit multi-purpose fitness center offering weight training, cardio, CrossFit, personal training, bodybuilding, and IFBB-level competition coaching. Known for state-of-the-art equipment across a massive floor area. Open 7 days (Mon–Sat 6 AM–10 PM, Sun 8 AM–12 PM). Trainers include Adil Sir and Vicky Bhaiya with expert knowledge in nutrition and bodybuilding techniques.","One of Jodhpur's most established gyms with a dedicated community of 10,687+ Facebook followers. Owner Adil Khan (known as 'Aadil Sir') is a renowned fitness professional in the city. Rated 4.5/5 on Google with 278 reviews. Coaches IFBB professional aspirants. Tagline: 'A name in itself — bodies are not trained, they are sculpted here.' Reviews highlight outstanding trainer knowledge, though some complaints about over-emphasis on personal training upselling.",5,1/1/2015
JDH-001,Metalix Gym,Dhruv Tak,+91 90794 25128,,"Plot 28, 2nd Floor, Krishi Mandi Circle, above ICICI Bank, near Reliance Fresh, Maderana Colony, Jodhpur, Rajasthan 342001","Fully air-conditioned unisex gym with 24-hour biometric access. Specializes in weight training for fat loss and mass gain. Offers steam bath, zero-gravity massage, locker facilities, personalized diet and workout plans, CCTV security, WiFi, and an on-site supplement store. Two branches in Jodhpur (Maderana Colony and Paota). Serves all fitness levels from beginners to advanced athletes.",Nationally awarded 'Best Gym With Outstanding Results' (2018) and 'Best Gym With Outstanding Ambiance' (2020). Trainer Dhruv Tak won 'Best Fitness Trainer in Jodhpur' award (2020) presented by actor Vidyut Jamwal. Membership starts at ₹499/month. Over 500 Google reviews with consistent 4.9-star rating. Popular with international travellers visiting Jodhpur. Day-pass available at ₹200.,5,1/1/2016
JDH-002,Pulse Fitness,Mayank Singh,+91 97821 26677,,"117/4 Yes Bank Basement, Bhairav Circle, Ratanada, Jodhpur, Rajasthan 342003","Community-focused fitness center offering CrossFit, Pilates, Hyrox, Functional Training, Kickboxing, Olympic Lifting, Powerlifting, and Strength Training. Houses Jodhpur's only dedicated Pilates studio led by certified instructor Pritika Solanki. Provides 2-day free trial. Membership available on monthly, quarterly, half-yearly, and yearly basis.","Ranked #1 gym in Jodhpur by ThreeBestRated.in. Organizes outdoor activities including hiking, trekking, cycling and boot camps for members. Strong community culture with members of all ages. Pilates program is unique in the city. Over 587 Google reviews. Trainer Mayank Singh has helped members achieve significant fat loss and muscle gain transformations.",5,1/1/2017
JDH-003,Anytime Fitness,Anytime Fitness Franchisee,+91 90574 50000,,"3rd Floor, GK Tower, Gaurav Path, Opposite Discom Sub Station, Ratanada Circle, Ratanada, Jodhpur, Rajasthan 342011","International 24/7 gym franchise with state-of-the-art equipment for strength training, cardio, and functional workouts. Smart key access system allows entry anytime. Modern machines, air-conditioned facility, clean changing rooms and showers. Key trainers: Seema Ma'am, Sunil Sir, Tejpal Sir. Worldwide membership access to 5,500+ Anytime Fitness clubs globally.","Part of the world's largest gym franchise network (5,500+ clubs in 50 countries). Jodhpur franchise estimated to have opened around 2020. Mixed reviews: praised for hygiene, equipment, and dedicated trainers; some complaints about pushy sales tactics. Membership grants global access. International brand presence adds credibility. Over 573 Google reviews.",4,1/1/2020
JDH-004,Fitbox Fitness Studio Premium,Twinkle Rathore,+91 63780 39243,,"1st Polo Ship House Road, Opposite Marudhar Hospital, Paota, Jodhpur, Rajasthan 342001","Premium fitness studio with state-of-the-art equipment and dedicated training zones for weight training, strength training, and customized muscle-building sessions. Offers tailored routines for weight loss, lean muscle building, and body sculpting. Certified and experienced trainers lead all sessions. Inclusive for beginners and advanced athletes.","Multi-branch gym chain with locations in Lal Sagar, Laxminagar, Circuit House, and Paota (premium branch). Special discounts offered for women members. Active in fitness championships and body transformation competitions. Nutrition supplement guidance provided. 4.9-star Google rating with 171 reviews. One of the most modern fitness facilities in western Jodhpur.",5,1/1/2019
JDH-005,The Lift Gym,The Lift Gym Owner,+91 97826 91029,,"Vijay Nagar, Basni, Jodhpur, Rajasthan 342005","Well-equipped gym catering to both men and women. Services include bodybuilding, weight training, cardio exercises, group fitness classes, personalized fitness training, and nutrition counseling. Operates double shifts (5 AM–12 PM and 5–10 PM, Mon–Sat). Maintains a healthy, disciplinary, and friendly environment.","Established in 2018, quickly became the go-to fitness destination in the Basni industrial area. Consistently earns 4.9-star ratings with 343 Google reviews. Certified trainers for both genders. Strong local reputation for equipment quality and trainer attentiveness. Popular with working professionals in the Basni MIA zone.",5,1/1/2018
JDH-006,Trident Fitness,Gaurav Singh Rathore,+91 97995 11068,,"Rajmata Krishna Kumari Road, behind Lalji Handicrafts, Rai Ka Bagh, Jodhpur, Rajasthan 342006","Full-service gym offering strength training, cardio, and group fitness classes. Modern and well-maintained equipment available for all fitness levels. Convenient morning (5:30 AM–12 PM) and evening (4–10:30 PM) sessions. Clean and welcoming atmosphere with professional staff.",Boutique gym in the Rai Ka Bagh locality with a highly personal approach. Owner is noted for being genuinely caring about members' fitness journeys. Popular with both local residents and tourists/travellers from abroad. Praised by visitors from Australia as the best gym in Jodhpur. 4.9-star Google rating with 26 reviews.,5,6/1/2019
JDH-007,Falcon Fitness,Vishal Rathore,+91 89267 14444,,"Near Moti Mahal, Bhaskar Circle, Shakti Colony, Ratanada, Jodhpur, Rajasthan 342011","Full-service fitness studio with top-notch equipment in a spacious, clean environment. Offers diverse training programs for all fitness levels. Trainer Vishal provides motivating and knowledgeable guidance. Morning (6–11 AM) and evening (4–9 PM) batches available, Monday to Saturday.","Well-established gym in the Ratanada locality with 261 Google reviews and 4.8-star rating. Predominantly positive reviews, though some complaints have been raised about membership fee disputes and trainer behavior. Widely recognized for state-of-the-art equipment and cleanliness. Trainer Vishal is frequently highlighted in reviews.",5,6/1/2018
JDH-008,Hawk Fitness,Manish Solanki,+91 89496 98678,,"Plot No. 91, near Bodhi International School, Tirupati Vihar, Shikargarh Enclave, Shikargad, Jodhpur, Rajasthan 342001","Premium fitness center focusing on overall fitness and agility. Specializes in Personal Training, Functional Training, CrossFit, and Cardio Workouts. High standards of hygiene and professional training environment. Trainers provide attention and guidance to all members, even those without personal training subscriptions. Morning (5–11 AM) and evening (4–9 PM) sessions.",One of the top-rated gyms in Jodhpur with 325 Google reviews and 4.9-star rating. Premium ambiance with world-class equipment and luxurious feel. Known as 'The BIG Daddy of Fitness' per its brand tagline. Trainers are experienced and highly responsive to member needs. Serves a fitness-conscious clientele in the Shikargarh/Shikargad area of eastern Jodhpur.,5,1/1/2021
