Gym Name,Owner Name,Contact Number,Email Address,Address,Functionality Description,Insights,Ratings and Reviews,Establishment Date
Fobia Fitness Studio,Fobia Fitness Owner,+91 98929 24271,,"Jail Road, near Aayushman Hospital, Vikas Vihar Colony, Tonk, Rajasthan 304001","Premium fitness studio on Jail Road, Vikas Vihar Colony. Services include strength training, bodybuilding, cardio, personal training, and functional fitness. Two daily sessions: morning (5–10 AM) and evening (4–9 PM), Mon–Sat. New and well-maintained equipment post-maintenance upgrade. Free membership for Indian Army personnel. Clean washrooms and changing facilities on-site.","4.7/5 Google rating with 121 reviews — highest review count of any gym in Tonk city. Established July 2021. First gym in Tonk to offer free membership for Indian Army — a unique differentiator showing community commitment. Members describe it as incomparable in Tonk and recommend experiencing it in person. Recently upgraded after maintenance, making it even better. Highly recommended for both boys and girls.",5,"July 1, 2021"
Xtreme Bravo Gym,Zeeshan (Owner/Johnny Bravo),+91 70147 72822,,"Near Saint Joseph Senior Secondary School, near Singodiya Art Gallery, Rajban, Tonk, Rajasthan 304001","AC gym near Saint Joseph School in the Rajban locality. Services include weight training, cardio, strength training, and personal coaching. Open Mon–Sat 5–11 PM (evening-focused). Latest machines with AC throughout. Clean shoes policy enforced (members bring footwear in polythene bags).","4.7/5 Google rating with 69 reviews. Owner Zeeshan Sir (known affectionately as 'Johnny Bravo') is praised for his excellent, engaging communication style and friendly personality. Described as one of the best gyms in Tonk for comfortable workout environment and top equipment. AC facility is a premium feature in Tonk. Clean gym with strict hygiene policy. Members recommend visiting at least once to experience the owner's welcoming approach.",5,
Royal Gym Tonk,Jaswant Singh / Sumit Gothwal (Coaches),+91 84408 08412,,"Near Bypass, Housing Board, Kha Ngar, Tonk, Rajasthan 304001","24-hour gym (Mon–Sat) near the Bypass in Housing Board area. Services include strength training, weight loss, muscle gain, cardio, and personal coaching. Open 24 hours Mon–Sat, closed Sunday. Modern machines and full workout equipment for beginners and advanced members. Gym accessories (supporters) available for purchase at genuine prices.",4.8/5 Google rating with 31 reviews. Coaches Jaswant Singh and Sumit Gothwal both named in reviews for excellent guidance. Rated #1 gym in Tonk by multiple members. 24-hour operation Mon–Sat is the only such arrangement in Tonk — a major differentiator serving shift workers and night-time fitness enthusiasts. Modern machines. Located near the bypass in Housing Board — easy access from multiple parts of the city.,5,
Fitness Fobia Studio,Fitness Fobia Owner,+91 91375 47567,,"Near Chawani Circle, New Bus Stand Road, Maratha Colony, Tonk, Rajasthan 304001","Spacious, hygienic fitness studio near Chawani Circle on New Bus Stand Road. Services include strength training, weight training, cardio, and personal coaching. Two daily sessions: morning (5–11 AM) and evening (4–9 PM), Mon–Sat. Well-managed equipment in a clean, hygienic environment. Second location of the Fobia Fitness brand in Tonk.",Perfect 5.0/5 Google rating with 14 reviews. Second branch of the Fobia Fitness Studio brand — confirming it as Tonk's most successful multi-location gym brand. Members describe a lot of space and excellent hygiene. Good trainer and well-maintained equipment. Located near Chawani Circle — Tonk's second most important commercial intersection after the main bazaar. Serves Maratha Colony and nearby New Bus Stand commuter population.,5,
The Tiger Gym & Martial Arts Academy,,+91 82786 86131,,"IDSMT Nagar Parishad Colony, B-03, Kali Paltan, Tonk, Rajasthan 304001","24/7 multi-discipline gym and martial arts academy. Services include gym workouts, strength training, Taekwondo, Kickboxing, and Wushu classes. Open 24 hours, 7 days a week. Modern gym machines established March 2024. Expert coaches for all martial arts disciplines alongside conventional gym.","Perfect 5.0/5 Google rating with 15 reviews. Established March 15, 2024. Completely unique in Tonk — the ONLY gym offering Taekwondo, Kickboxing, AND Wushu alongside conventional training. Open 24/7 including Sundays — the most accessible gym in Tonk by operating hours. Modern machines from day one of establishment. Serves Kali Paltan and IDSMT Colony — a residential area with limited gym options.",5,"March 15, 2024"
My Fitness Tonk,,+91 99296 23902,,"Captain Colony, Chawani, near Jaipur Bypass, behind Flying Machine Showroom, Tonk, Rajasthan 304001","Hybrid fitness centre and physiotherapy clinic in Captain Colony. Services include gym workouts, strength training, cardio, personal training, and physiotherapy. Open all day with quiet afternoon sessions. 19 years of physiotherapy expertise available on-site. Suitable for injury rehabilitation combined with fitness training.","Perfect 5.0/5 Google rating with 30 reviews. Unique dual offering: gym + 19-year experienced physiotherapy clinic — the only such hybrid facility in Tonk. Multiple members mention excellent physiotherapy for knee, joint, and injury recovery. Quiet afternoons make it ideal for recovery-focused members. Located near Jaipur Bypass behind Flying Machine Showroom — a well-known landmark in Captain Colony, Chawani.",5,
Divine Fitness Club,,+91 82906 42925,,"Uniara Road, opposite Brij Bihar Colony, Gandhi Nagar, Tonk, Rajasthan 304001","Budget-friendly fitness club in Gandhi Nagar. Services include weight training, powerlifting, weightlifting, bodybuilding, and sports performance training. Open Mon–Sat 5 AM–10 PM. Nationally qualified coach on staff. Very affordable membership fees.","4.6/5 Google rating with 11 reviews. Unique for having a nationally qualified coach — a rare credential in Tonk's gym market. Specifically caters to powerlifting and weightlifting sports alongside conventional bodybuilding. Lowest-fee gym in Tonk per member reviews. Owner is humble, friendly, and supportive. Gandhi Nagar is a residential zone on the southern edge of Tonk city.",5,
Diamond Gym Tonk,,+91 92144 79247,,"Ambika Colony, Tonk, Rajasthan 304001","Established neighbourhood gym in Ambika Colony. Services include weight training, cardio, strength training, and general fitness. Two daily sessions: morning (5–9 AM) and evening (4–8:30/9 PM), Mon–Sat. Separate top floor for rope skipping, pull-ups, and stretching. All required machines available.","4.3/5 Google rating with 54 reviews — second-highest review count in Tonk. One of the few gyms in Tonk with a dedicated separate upper floor for functional fitness (rope skipping, pull-ups, stretching). Affordable at Rs.600/month. Peaceful environment with cooperative trainers. Some members note limited trainer instruction — better suited for self-guided members. Ambika Colony is a central residential zone in Tonk.",4,
NS Fitness Zone Gym,,+91 96360 74914,,"Opposite Veera Hospital, Civil Line, Tonk, Rajasthan 304001","Fitness gym opposite Veera Hospital on Civil Line. Services include weight training, cardio, strength training, and personal coaching. Morning sessions (5:30–10 AM) and evening sessions (4–9 PM), Mon–Sat. Located in Tonk's administrative and hospital corridor.","Located on Civil Line opposite Veera Hospital — Tonk's most prominent hospital corridor with high daily footfall from patients, staff, and government officials. Civil Line is the administrative spine of Tonk district. Serves medical professionals, government employees, and Civil Line residents. Strategic location offering visibility and accessibility to working professionals.",4,
Ali Gold Gym,,,,"Rajban, Tonk, Rajasthan 304001","Neighbourhood gym in Rajban locality of Tonk. Services include weight training, strength training, and general fitness. Fully open format with a welcoming environment.","4.6/5 Google rating with 12 reviews. Located in Rajban — a residential mohalla in Tonk city. Members rate it as the best gym in Tonk for open, accessible format. Complements the Xtreme Bravo Gym also operating in the Rajban area. Serves the local residential community with affordable basic fitness facilities.",5,
National Health Club Niwai,National Health Club Owner,+91 92520 43814,,"Shivaji Colony, Niwai-Jodhpuriya Road, Niwai, Tonk District, Rajasthan 304021","Tonk district's oldest and most established gym in Niwai town. Two-floor gym with multiple ACs, locker facilities, and RO water. Services include weight training, cardio, strength training, personal training, and disciplined group sessions. Open Mon–Sat 5 AM–9 PM. Full equipment for both cardio and muscle training.","4.6/5 Google rating with 40 reviews. Established 21+ years ago — the oldest gym in the entire Tonk district. Fully AC, 2-floor layout, RO water, locker facility — one of the most complete gym infrastructure packages in any Tonk district town. Owner is humble and helpful. Niwai is a tehsil town on the Jaipur–Tonk highway, ~40 km north of Tonk city. Serves a large agricultural and government employee population.",5,
Fitness First Gym Todaraisingh,,,,"MDR 73, Modikya Colony, Todaraisingh, Tonk District, Rajasthan 304505","24-hour gym (Mon–Sat) in Modikya Colony, Todaraisingh. Services include general fitness, weight training, and cardio. Open 24 hours Mon–Sat, closed Sunday.","3.9/5 Google rating with 10 reviews. Located in Todaraisingh — a tehsil town in Tonk district, ~55 km southwest of Tonk city. Todaraisingh is known for its historical Todarmal Fort and agricultural trade. 24-hour operating model Mon–Sat serves the early-rising agricultural community. One of very few formal gym facilities in this small town, giving it a captive local market.",4,
SN Fitness Center Malpura,,,,"New Hospital Road, opposite Veer Sawarkar Chouraha, Malpura, Tonk District, Rajasthan 304502","Fitness centre opposite Veer Sawarkar Chouraha near the new hospital, Malpura. Open Mon–Sat 9 AM–5 PM. Serves the Malpura residential and commercial community.","Perfect 5.0/5 Google rating. Located in Malpura — a tehsil town in Tonk district, ~55 km northwest of Tonk city, known for its textile and agricultural trade. Situated opposite Veer Sawarkar Chouraha near the new hospital — a central, high-visibility location. One of the few organised fitness facilities in Malpura, filling a gap in the western Tonk district fitness market.",5,
Fitness Headquarter Gym,,+91 98874 38714,,"Plot No. A-34, Nagar Parishad Colony Front, Hatwara Ground, Kali Paltan, Tonk, Rajasthan 304001","Modern, full-service gym in Kali Paltan near Nagar Parishad Colony. Services include weight training, cardio, strength training, personal training, and structured fitness programming. Open Mon–Sat 5 AM–10 PM. Spacious, clean workout floor with locker rooms and showers. Wide range of modern weightlifting machines and cardio equipment. Skilled, approachable trainers focused on correct form.","4.6/5 Google rating with 11 reviews. Members give 5/5 across all categories: facilities, cleanliness, trainers, equipment variety, and atmosphere. Trainers praised for personalised guidance, proper form correction, and motivating approach. Locker rooms and showers available — rare premium amenity in Tonk. Located adjacent to The Tiger Gym in Kali Paltan, forming a two-gym fitness hub in this residential area. Described as fantastic for both beginners and experienced members.",5,
Lucky Fitness Gym & Dance Class,Lucky Bhaiya (Owner/Coach),+91 88900 45541,,"House No. E-12/13, Deoli, Tonk District, Rajasthan 304804","Multi-service fitness studio and dance class centre in Deoli town. Services include gym workouts, strength training, cardio, Modicare health products, and dance fitness classes. Guaranteed body transformation in 90 days. Clean, well-maintained environment with modern equipment. Female-friendly and family-safe gym environment.","4.9/5 Google rating with 141 reviews — highest review count of any gym in the entire Tonk district outside the city. Owner-coach Lucky Bhaiya is praised as the best coach in Deoli for personal attention and motivational approach. 90-day transformation guarantee is a bold and unique marketing commitment. Female-friendly and family gym positioning is rare in small-town Tonk district. Deoli is a tehsil town in southern Tonk district, ~80 km south of Tonk city. Described as a 'shandar gym' (excellent gym) with proper hygiene.",5,
The Arnold Gym Uniara,,+91 99284 52623,,"Uniara, Tonk District, Rajasthan 304024","Fitness gym serving the Uniara community in Tonk district. Services include weight training, strength training, cardio, and personal coaching. Friendly atmosphere with a supportive trainer.","4.6/5 Google rating with 9 reviews. Located in Uniara — a tehsil town in southeastern Tonk district, ~45 km from Tonk city. Named after Arnold Schwarzenegger, reflecting the gym's bodybuilding aspirational culture. Members praise outstanding trainer and positive training partners. Serves the local community of Uniara which has very limited gym options. One of very few documented gyms in the southeastern Tonk district area.",5,
