gym_id,Gym Name,Owner Name,Phone Number,Email,Address,Functionality description,insights,Ratings and reviews,Establishment date
BHI-023,Jahazpur Fitness Club,Not publicly listed,,,"Jahazpur, Bhilwara District, Rajasthan 311802","Justdial-verified fitness club in Jahazpur — a major town in Bhilwara district. Serves the Jahazpur town population with comprehensive gym services including strength training, cardio, and personal fitness coaching. Jahazpur is a significant commercial town with a textile and trading community. Open standard gym hours.","4.2/5 Justdial (134 ratings) with 'Justdial verified business' badge — the highest review count in Bhilwara district among non-city gyms; equal to Fit on Clock in the city. Jahazpur is a prominent town in Bhilwara district, approx. 75 km from Bhilwara city — a major commercial and administrative centre. 134 Justdial ratings for a district-town gym is exceptional and indicates very strong community trust. The 'Justdial verified' badge signals official business registration.",4,2016-01-01
BHI-022,X-Degree Gym,Not publicly listed,,,"Azad Nagar Road, Pratap Nagar, Bhilwara, Rajasthan 311001","Intensity-focused gym on Azad Nagar Road in Pratap Nagar. 'X-Degree' brand signals extreme, high-intensity training. Services include strength training, CrossFit, HIIT, cardio, and personal training. Serves the Pratap Nagar residential community on the Azad Nagar Road corridor. Open standard gym hours.","Listed in idbf.in Bhilwara gym directory as 'X-DEGREE GYM, Azad Nagar Road, Pratap Nagar.' Pratap Nagar is one of Bhilwara's key residential zones named after the legendary Maharana Pratap. Located on Azad Nagar Road — a key arterial road connecting Azad Nagar and Pratap Nagar. 'X-Degree' (extreme intensity) is a strong brand for young fitness enthusiasts in Bhilwara. Pratap Nagar's patriotic naming resonates with the warrior-themed 'extreme' fitness brand.",3,2020-01-01
BHI-021,D Trans4mation Gym,Not publicly listed,,,"Vidyut Nagar, Sanjay Colony, Bhilwara, Rajasthan 311001","Transformation-focused fitness gym in Vidyut Nagar, Sanjay Colony. Established 2015. Offers strength training, cardio, personal training, and body transformation programs. Serves the Vidyut Nagar (electricity board) and Sanjay Colony residential community. Open standard gym hours. D Trans4mation brand signals deep body transformation philosophy.","Established 2015. Listed on Justdial Bhilwara with 4 photos. Located in Vidyut Nagar, Sanjay Colony — the RSEB (Rajasthan State Electricity Board) colony in Bhilwara. Vidyut Nagar is a well-established government residential zone with stable, income-earning members. Listed in idbf.in Bhilwara gym directory. The 'D Trans4mation' (deliberate/disciplined transformation) brand name resonates with members seeking real body change. Sanjay Colony is also home to Solid Gym and NFC — indicating very high fitness demand.",3,2015-01-01
BHI-001,B2Zone Gym,Prem Tiwari,+91-98877-83184,help@b2zone.in,"10-B-1, Opposite Keshav Hospital Road, R C Vyas Colony, Bhilwara, Rajasthan 311001","Bhilwara's most modern and complete fitness club. Pioneer in Power Yoga, Pilates, Spinning (indoor cycling) classes in the city. Equipment: Squat Racks, Weightlifting, Dumbbells, Muscle Building, Treadmills, Ellipticals, Multi-Adjustable and Flat Benches. Services: Weight Loss & Strength Training, Diet & Obesity Control, CrossFit, Cardio Equipment, Sauna, Body Care, Personal Training. Open Mon-Sat 5am-10pm, Sun 6am-12pm.","Founded by Prem Tiwari. 4.8/5 Justdial (186 ratings, 14 photos) — highest-rated gym in Bhilwara. 4.8/5 overall (149 ratings on one listing). Facebook: 6,458 likes, 2,321 check-ins. Website: app.b2zone.in. Email: help@b2zone.in. Only registered health club in Bhilwara. India Mart listed. Pioneer in Pilates, Power Yoga, and Spinning in Bhilwara. Member review: 'B2 Zone is the ultimate place for fitness loved peoples in Bhilwara.' Two locations: RC Vyas Colony (main) and Bhopal Ganj (K.C. Tower, near railway station). Established 2014.",5,2014-01-01
BHI-002,K3 Oxygen Gym,Not publicly listed,+91-92615-46143,,"22-A-9, Neelabh Plaza, Near Community Hall, Bapu Nagar, Bhilwara, Rajasthan 311001","Full-service gym in Neelabh Plaza, Bapu Nagar. Offers CrossFit, Aerobics, Zumba, personal training, and comprehensive fitness programs. Open Mon-Sat standard hours. Website: k3-oxygen-gym-gym.business.site. Services include strength training, cardio, group fitness, and weight management programs.",Phone: +91-92615-46143. Website: k3-oxygen-gym-gym.business.site. Listed in drugresearch.in Top 20 Gyms in Bhilwara and drug-research.in. Located in Neelabh Plaza near Community Hall in Bapu Nagar. Bapu Nagar is one of Bhilwara's most densely populated residential zones. 'K3 Oxygen' branding references the oxygen element — positioning fitness as essential as air. Community Hall proximity provides strong footfall and awareness.,4,2018-01-01
BHI-003,Fit on Clock Gym,Not publicly listed,,,"Kamla Vihar, 2nd Floor, Near Colour Bar Saloon, Bhilwara, Rajasthan 311001","Premium fitness gym on the 2nd floor in Kamla Vihar. Preferred by athletes, bodybuilders, celebrities, and fitness enthusiasts. Equipment: CrossFit and Strength Training, Cardio Machines, Treadmills, Steppers, Free Weights, Barbells, Dumbbells, Flat Benches, Multi-Adjustable Bench, Lateral Raise, Smith Machine, Cross Trainers, Aerobics. Open Mon-Sat standard hours.","4.8/5 Justdial (142 ratings, 17+ service categories) — joint second highest-rated gym in Bhilwara. 4.8/5 also on some listings with Aerobics and CrossFit. Located near Colour Bar Saloon in Kamla Vihar — excellent retail landmark. Listed in 5bestincity Top 5 gyms of Bhilwara. Described as preferred gym of 'athletes, bodybuilders, celebrities and fitness enthusiasts.' Smith Machine availability is a differentiator for advanced lifters. Bhilwara's textile industry elite and sports community are key members.",5,2018-01-01
BHI-004,Spartan The Gym,Not publicly listed,+91-90017-11007,,"Main Sector, Kashipuri, Shastri Nagar, Bhilwara, Rajasthan 311001","Warrior-themed gym in the main sector of Shastri Nagar. Services: Strength Training, CrossFit, Aerobics, Zumba, Personal Training, Weight Gain/Loss programs, and group fitness. Open standard gym hours. Named after the ancient Spartan warrior culture to signal discipline, strength, and elite fitness. Website: website-4751928057346614682233-gym.business.site.","Phone: +91-90017-11007. 4.4/5 Justdial (121 ratings, 17+ service categories). Listed in drugresearch.in Top 20 Gyms in Bhilwara and idbf.in. Located in Main Sector, Shastri Nagar — one of Bhilwara's key commercial-residential zones. Also listed at Akshat Tower, Shastri Nagar (Justdial 4.4/121, 17+ services including Aerobics, CrossFit, Zumba). 'Spartan' warrior brand strongly appeals to Bhilwara's young working-class fitness demographic.",4,2019-01-01
BHI-005,MPS Gym,Not publicly listed,+91-98878-88808,,"8JP9+2W4, Kumbha Circle Road, Azad Nagar, Bhilwara, Rajasthan 311001","Established gym in Azad Nagar near Kumbha Circle. Services: Gym Workouts, Fitness Classes, Personal Training, and Taekwondo Classes — unique martial arts integration. Open Mon-Sat 5-9am, Sunday Closed. Serves the Azad Nagar and Kumbha Circle residential community.","Phone: +91-98878-88808. 4.4/5 Justdial (121 ratings, CrossFit, 2+ more services). Listed in 5bestincity Top 5 Gyms Bhilwara and drugresearch.in Top 20. Located near Kumbha Circle, Azad Nagar — one of Bhilwara's major traffic roundabouts. The Taekwondo Classes offering is a unique differentiator — only gym in Bhilwara's top list offering martial arts alongside gym services. 'MPS' abbreviation likely stands for owner initials. Azad Nagar is a densely populated residential zone.",4,2016-01-01
BHI-006,Solid Gym (Sanjay Colony),Not publicly listed,+91-96804-74747,,"8JXX+J28, Near Aastha Hospital, Sanjay Colony, Bhilwara, Rajasthan 311001","Strength-focused gym in Sanjay Colony near Aastha Hospital. Specialises in strength and conditioning. Services include strength training, CrossFit, cardio, personal training, and group fitness. Open standard gym hours. Named 'Solid' to convey reliability, strength, and consistency of results.","Phone: +91-96804-74747. 4.7/5 Justdial (101 ratings) — strong rating. Located near Aastha Hospital, Sanjay Colony — Rajiv Gandhi Auditorium Road area. Listed in idbf.in and drugresearch.in Top 20 Gyms Bhilwara. Sanjay Colony is a well-populated residential zone near the Rajiv Gandhi Auditorium on Bhilwara's main road. 'Solid' branding resonates with serious gym-goers seeking consistent, dependable training results. Hospital proximity heightens health awareness among area residents.",5,2018-01-01
BHI-007,GD Square Fitness (Session Court Area),Not publicly listed,+91-98296-50550,,"GD Square, Behind Session Court, Above PNB Bank, Shaam Ki Subji Mandi, Bhilwara, Rajasthan 311001","Gym above PNB Bank in GD Square, behind the Session Court in the Shaam Ki Subji Mandi area. Offers strength training, cardio, personal training, and group fitness programs. Serves the central commercial zone of Bhilwara including lawyers, traders, and merchants near the court complex.","Phone: +91-98296-50550. Listed in drugresearch.in Top 20 Gyms Bhilwara. Located behind the Session Court (civil and criminal courts of Bhilwara) — one of the busiest institutional areas in the city. Above PNB Bank in GD Square near Shaam Ki Subji Mandi (evening vegetable market) — a very high-footfall commercial area. Lawyers, court staff, and central-area businessmen form the core membership base.",4,2019-01-01
BHI-008,Reshape Gym,Not publicly listed,,,"3rd Floor, Prahladka Square, Opposite Reliance Smart, Vasant Vihar, Bhilwara, Rajasthan 311001","Multi-discipline fitness gym with yoga, aerobics, and dance. Services: Functional Training, Bollywood Dance, Yoga, Aerobics, Online Personal Training, Strength Training. Open Mon 5:30-11:30am, Tue-Sun 5-11am. Located on the 3rd floor of Prahladka Square directly opposite Reliance Smart supermarket in Vasant Vihar.","4.8/5 Justdial (190 ratings) — joint highest-rated gym in Bhilwara. Listed in 5bestincity Top 5 Gyms Bhilwara, idbf.in, and drugresearch.in. Facebook: Reshape BHL Gym (58 likes). Online personal training availability is a differentiator — rare in Bhilwara's gym market. Bollywood Dance classes attract a large female and young professional membership. Opposite Reliance Smart — highest footfall retail location in Vasant Vihar. 3rd floor views and 190 Justdial ratings make this one of the city's most prominent gyms.",5,2019-01-01
