gym_id,Gym Name,Owner Name,Phone Number,Email,Address,Functionality description,insights,Ratings and reviews,Establishment date
BRM-001,Shreeram Gym,Not publicly listed,,,"City Center Phase 2, Mahaveer Nagar, Barmer, Rajasthan 344001","Barmer's highest-rated gym. Services: Gym, Cardio, Calisthenics, Functional Training, Zumba. Own Google website: sites.google.com/view/shreeram-gymbarmer. Facebook: Shree Ram Gym Barmer (574 likes, 274 check-ins). Open standard gym hours.","4.8/5 Justdial (436 ratings, 31 photos) — highest-rated gym in Barmer by review count. Facebook: 574 likes, 274 check-ins. Own Google website lists services: GYM, CARDIO, CALISTHENICS, FUNCTIONAL TRAINING, ZUMBA. City Center Phase 2 in Mahaveer Nagar is Barmer's most developed commercial zone. Mahaveer Nagar is the premium residential area of Barmer city. The gym opened after 2020 based on Justdial listing date of Aug 2023.",5,2021-01-01
BRM-002,KDM Gym Station,Coach Shrawan B Jangid,,,"Near Saint Paul School, Barmer HO, Barmer, Rajasthan 344001","Established 2017. Luxury gym offering high-end fitness experience with experienced trainers and state-of-the-art equipment. Services: Strength Training, Bodybuilding, Personal Coaching, CrossFit, Cardio. Coach: Shrawan B Jangid. Instagram: @kdmgymstation. 'Gym of Transformation, Gym of Results' — their tagline.","4.4/5 Justdial (313 ratings, 25 photos) — second highest review count in Barmer. Est. 2017 per Instagram bio. Coach: Shrawan B Jangid. Instagram: @kdmgymstation (425 followers, 64 posts). Near Saint Paul School — one of Barmer's best-known private schools, excellent landmark. Review highlight: 'Trainer at this gym is wonderful and never lets you go depressed.' One review mentions gaining 12 kg in 2 months. 'KDM Gym 2.0' listed on Instagram indicating an upgraded version.",4,2017-01-01
BRM-003,M S Sodha Gym (Station Road),Mahendra Singh Sodha,,,"5th Floor, Bhagwati Complex, Station Road, Kothwali, Barmer, Rajasthan 344001","Premium gym on the 5th floor of Bhagwati Complex, Station Road. Owned and trained by Mahendra Singh Sodha. Services: Gym, Aerobics, Weight Management, Cardio, Weight Loss, Weight Gain. Unique machines not found in other Barmer gyms. Large space with multiple equipment areas. Open standard hours.","4.5/5 Justdial (152 ratings) — strong rating. Owner/trainer: Mahendra Singh Sodha (highly praised across reviews). Review highlights: 'Large space and multiple equipment, trainer Mahendra Singh Sodha is professional, humble, and passionate.' 'Cleanliness and hygiene' and 'unique machines that are rare in other gyms.' Station Road (Kothwali) is Barmer's main commercial artery near the railway station and Kothwali police station. Bhagwati Complex is a major commercial building in central Barmer.",5,2019-01-01
BRM-004,Joggers Fitness Club And Gym,Not publicly listed,,,"Ma Santoshi Tower, 2nd Floor, Choutan Circle, Chohtan Road, Barmer, Rajasthan 344001","Full-service gym and fitness club with Swimming Pool, Sauna, and WiFi — rarest amenities in Barmer. Services include: Gym, Cardio, CrossFit, Basketball, Body Care, Sauna, Swimming Pool, Aerobics, Zumba. Opens at 5:30 am. Located on 2nd Floor of Ma Santoshi Tower at the key Choutan Circle on Chohtan Road.","4.4/5 Justdial (58 ratings, 42 photos — highest photo count of any Barmer gym). Swimming Pool, Sauna, WiFi, and Basketball are unique differentiators — no other gym in Barmer city offers this combination. Choutan Circle on Chohtan Road (Chohtan is a major tehsil town in Barmer district). Ma Santoshi Tower is named after Goddess Santoshi Mata — strong religious brand resonance. 42 Justdial photos is an exceptional visual presence.",4,2023-01-01
BRM-005,M S Sodha Fitness (Railway Colony),Mahendra Singh Sodha,,,"Railway Colony, High School Road, Railway Colony, Barmer, Rajasthan 344001","Second branch of the M S Sodha Fitness brand in Railway Colony. Services: CrossFit, Gym, Cardio, Strengthening Exercises, Personal Training ('Get Your Own Trainer'). Unisex gym open to men and women. High School Road location in Railway Colony. Open until 9:00 am (morning session).","4.1/5 Justdial (27 ratings) — second branch of Barmer's M S Sodha brand. Railway Colony is the residential campus of Barmer's railway employees — a stable, income-earning community. High School Road is a key road in Railway Colony. CrossFit and personal training are the primary services. The Railway Colony branch caters to the government railway employee community who have fixed work hours and prefer morning gym sessions.",4,2020-01-01
BRM-006,Madhuban Colony Fitness Gym,Not publicly listed,,,"Laxmi Nagar, Madhuban Colony, Barmer, Rajasthan 344001","Unisex CrossFit and general fitness gym in Laxmi Nagar, Madhuban Colony. Services: CrossFit, Gym, Cardio, Aerobics, Personal Training. Open standard hours. Serves the Madhuban Colony (Honey Forest Colony) and Laxmi Nagar residential communities.","3.8/5 Justdial (32 ratings) / 4.0/5 (28 ratings on another listing). Madhuban Colony (named after 'Madhuban' — honey forest) is a mid-range residential zone of Barmer. Laxmi Nagar (named after Goddess Lakshmi) is an auspicious, community-oriented residential address. Justdial unisex fitness centre listing confirms mixed-gender access. Two Justdial ratings indicating active community engagement.",4,2019-01-01
BRM-007,Shastri Nagar Fitness & Personal Training,Not publicly listed,,,"Shastri Nagar, Barmer, Rajasthan 344001","Personal training-focused fitness studio in Shastri Nagar. Services: Strengthening Exercises, Personal Training ('Get Your Own Trainer'), CrossFit, Cardio. Specialises in customised one-on-one coaching. Open standard hours. Serves the Shastri Nagar residential and commercial community.","Listed on Justdial Fitness Centres in Barmer as 'Shastri Nagar, Barmer — Strengthening Exercises, Personal Trainers, Get Your Own Trainer.' Shastri Nagar is named after former PM Lal Bahadur Shastri — a patriotic middle-class residential zone in Barmer. 'Get Your Own Trainer' model is growing in Tier-3 cities. Shastri Nagar is one of Barmer's established residential zones with professional and government employee residents.",3,2020-01-01
BRM-008,Nehru Nagar CrossFit Gym,Not publicly listed,,,"Nehru Nagar, Barmer, Rajasthan 344001","CrossFit-focused unisex gym in Nehru Nagar. Services: CrossFit, Gym, Cardio, Strengthening Exercises, Personal Training. Open standard gym hours. Serves the Nehru Nagar residential community — one of Barmer's oldest and most established colonies.",4.3/5 Justdial (22 ratings) — listed under Unisex Fitness Centres in Barmer. Phone number available on Justdial (Show Number listed). Nehru Nagar (named after PM Jawaharlal Nehru) is one of Barmer's oldest residential colonies with a mix of government employees and private sector workers. Located near the key Nehru Nagar commercial area of Barmer. CrossFit focus appeals to Barmer's younger fitness demographic.,4,2020-01-01
BRM-009,Ray Colony CrossFit Centre,Not publicly listed,,,"Ray Colony, Barmer, Rajasthan 344001","CrossFit-specialised fitness centre in Ray Colony. Services: CrossFit, Gym, Cardio, Aerobics, Strengthening Exercises. Phone number available on Justdial. Open standard hours. Serves the Ray Colony community.",4.4/5 Justdial (11 ratings) — listed under Unisex Fitness Centres in Barmer. Phone number available on Justdial (Show Number + WhatsApp listed). Ray Colony is a residential zone in Barmer. 4.4 rating with 11 votes reflects early-stage but highly satisfied membership. CrossFit positioning in a smaller colony differentiates it from standard weight-training gyms.,4,2021-01-01
BRM-010,Baldev Nagar Fitness Hub,Not publicly listed,,,"Baldev Nagar, Barmer, Rajasthan 344001","Community fitness gym in Baldev Nagar, one of Barmer's largest residential zones on the NH-15 corridor. Services: Strength Training, Cardio, CrossFit, Personal Training. Serves the diverse residential community of Baldev Nagar including government employees, oil industry workers, and traders.",Baldev Nagar (named after Baldev — a senior Indian statesman) is one of Barmer's most densely populated residential areas. Located on or near NH-15 (now NH-25) — the national highway connecting Barmer to Jaisalmer and Bikaner. Barmer is a major hub for oil and gas exploration (Cairn Energy/Vedanta operate large oil fields here) — oil industry employees form a key fitness demographic. Cambridge Private ITI and Shri Balaji Private ITI are both located in Baldev Nagar confirming high institutional density.,3,2020-01-01
