gym_id,Gym Name,Owner Name,Phone Number,Email,Address,Functionality description,insights,Ratings and reviews,Establishment date 
JPR013,Tonique The Fitness Dose,Manisha Nowlakha,+91 98280 19297,,"ADDRESS: D-122, Janpath, 2nd Floor, Shyam Nagar, Jaipur, Rajasthan
ALT ADDRESS: B-95 Janpath, Shyam Nagar, Jaipur (registered address)
ALT PHONE: 0141-4919027
ESTABLISHED: January 2013 (confirmed per founder LinkedIn and growfitter)
MEMBERSHIP FEES: Contact gym
RATING: 4.5/5 Justdial (126 ratings, 10 photos)
HOURS: Mon–Sat 6:00 AM – 10:00 PM
SERVICES: Gym, Zumba (specialist), Belly Dance, Aerobics, Pilates, AcroYoga, Cardio Fitness, Toning, Strength, Group Classes. Programs for ages 6 to 60+.
FACILITIES: State-of-the-art sound system, upbeat fitness studio ambiance, clean and safe environment
SOCIAL: LinkedIn: Manisha Nowlakha (Founder/Director/Fitness Instructor) | Revenue Rs. 1M–5M | 10–19 employees
OWNER BACKGROUND: Manisha Nowlakha – Certified Zumba Specialist, Fitness Influencer, AcroYoga & Pilates practitioner. Active since Jan 2012. Recognized as one of the best trainers by multiple newspapers. Certified Zumba Instructor license under manishanowlakha.zumba.com. 13+ years in the industry.
NATIONAL INSIGHT: Tonique is a boutique dance-fitness studio model that is disrupting traditional gym-only fitness. Women-centric studio approach with Zumba-led programming growing nationally. Represents India's Rs. 600 Cr dance fitness segment within the larger fitness market.
REVIEWS: reviewsxp.com: Manisha Nowlakha has won many appreciations for her work as a certified Zumba trainer. Remarked as one of the best trainers per newspapers and ceremonies. Jaipurstuff.com: She provides training for Zumba, belly dancing and makes gyming fun with innovative techniques.","Boutique dance-fitness studio in Shyam Nagar, Jaipur. Services: Gym, Zumba (specialist), Belly Dance, Aerobics, Pilates, AcroYoga, Cardio Fitness, Toning, Strength Training, Group Classes. Programs for ages 6 to 60+. Open Mon–Sat 6 AM–10 PM. State-of-the-art sound system and upbeat studio environment.","Established January 2013 by certified Zumba specialist Manisha Nowlakha. 4.5/5 Justdial (126 ratings, 10 photos). Owner is a recognized Zumba Instructor with license: manishanowlakha.zumba.com. Revenue Rs. 1M–5M. 10–19 employees. Awarded as one of the best trainers by Jaipur newspapers. Boutique dance-fitness model disrupting conventional gym segment. Women-centric studio approach.",5,1/1/2013
JPR012,MultiFit Vaishali Nagar,,+91 74148 72872,,"ADDRESS: D-252, Amrapali Marg, D-Block, Vaishali Nagar, Jaipur, Rajasthan 302021
ESTABLISHED: 2017 (confirmed per Justdial 8 Years in Business) | Founded globally: UK, July 2015
MEMBERSHIP FEES: Monthly Rs. 3,539 | Quarterly Rs. 7,079 (29% off) | Annual Rs. 12,980 (27% off)
RATING: 4.7/5 Justdial (424 ratings, 86 photos) | 4.7/5 (325 reviews on 365doctor) | 5.0/5 Growfitter (10 reviews)
HOURS: Mon–Sat 6:00 AM – 10:00 PM | Sun 8:00 AM – 2:00 PM
SERVICES: Gym, HIIT, CrossFit, Functional Training, TRX, Yoga, Zumba, MMA, Physiotherapy, Aerobics, Nutrition Counseling, Group Fitness, Personal Training
FACILITIES: AC, Music, Locker Room, Changing Room, CCTV, Free Parking, Mobile Charging, Biometric Access, Online Payment, Bathing Towels
SOCIAL: Facebook: multifitjaipur (1,430 likes, 1,444 check-ins) | Website: multifit.in
NATIONAL INSIGHT: MultiFit UK-founded (2015), now expanded to India and UAE with 350+ trainers including 10+ international trainers and 7+ international-level athletes. Operates 'iFit' model of functional fitness targeting Mind-Body-Soul balance. Differentiator: breaks monotony with cross-functional group training and HIIT.
REVIEWS: Member: Lost 6-8 kgs and huge inch reduction in 5 months. Thanks to Sukesh Sir. Justdial: Well-equipped with physiotherapy, parking, CCTV, yoga, Zumba, MMA. Friendly staff. Complaints about salesperson promises and membership renewal policy changes.","Multi-discipline gym in Vaishali Nagar. Services: Gym, HIIT, CrossFit, Functional Training, TRX, Yoga, Zumba, MMA, Physiotherapy, Aerobics, Nutrition Counseling, Group Fitness, Personal Training. Open Mon–Sat 6 AM–10 PM, Sun 8 AM–2 PM. Features biometric access, online payment, bathing towels, CCTV, mobile charging, and free parking.","UK-founded 2015, India expansion 2017. 4.7/5 Justdial (424 ratings, 86 photos), 5.0/5 Growfitter (10 reviews). 350+ trainers including 10+ international and 7+ international-level athletes. iFit model: functional cross-training for Mind-Body-Soul balance. Member lost 6–8 kg in 5 months under trainer Sukesh Sir. Facebook: multifitjaipur (1,430 likes). Website: multifit.in",5,1/1/2017
JPR011,Talwalkars Bani Park,,+91 01412720449,,"ADDRESS: Pashupati Akshat Heights, D-91, 1st & 2nd Floor, Near Collectorate Circle, Madho Singh Road, Bani Park, Jaipur, Rajasthan 302016
BRANCH 2: Vaishali Nagar – 107-108, Opp. Surya Mahal Restaurant, Amrapali Marg, Rathore Nagar, Vaishali Nagar, Jaipur 302021
BRANCH 3: Malviya Nagar – 1st Floor, Class of Pearl, Near Durgapura Stand, Income Tax Colony, Malviya Nagar, Jaipur
BRANCH 4: C-Scheme – E-142, Roshan Complex, Ramesh Marg, Ashok Nagar, Jaipur 302001
ESTABLISHED: Nationally since 1932 (by Vishnu Talwalkar) | Jaipur branches across multiple locations
MEMBERSHIP FEES: Rs. 6,500/month | Quarterly Rs. 4,500–6,000 | Annual Rs. 18,000–22,000
RATING: 4.1/5 Justdial (439 ratings, 138 photos – Bani Park branch)
HOURS: Standard gym hours; multiple branch timings vary
SERVICES: Gym, Cardio, Weight Training, Yoga, Zumba, Aerobics, NuForm, EMS, Reduce Weight Loss Solution, Nutrition & Diet Counselling, Massage, Spa, CrossFit, Group Classes, Personal Training
FACILITIES: World-class Torque, TechnoGym, Life Fitness equipment. Medical specialists on staff. 211+ branches across 85 cities. Steam, shower, locker.
NATIONAL INSIGHT: Talwalkars is India's largest gym chain — est. 1932, 211 branches, 2,00,000+ members, listed on BSE/NSE. David Lloyd UK invested Rs. 100 Cr in 2014. One of top 3 health club chains in Asia. Pioneer of India's fitness industry. Ranked in ET500 companies.
REVIEWS: Members praise women-friendly environment, large female member ratio, clean facilities, knowledgeable trainers. Vaishali Nagar branch described as very spacious and well maintained with good trainers. Bani Park branch: 439 ratings, praised for certified Master Trainers, dieticians, and physiotherapists.","India's largest gym chain with 4 Jaipur branches: Bani Park, Vaishali Nagar, Malviya Nagar, C-Scheme. Services: Gym, Cardio, Weight Training, Yoga, Zumba, Aerobics, NuForm, EMS Body Training, Reduce Weight Loss Solution, Nutrition & Diet Counselling, Massage, Spa, CrossFit, Group Classes, Personal Training. TechnoGym and Life Fitness equipment.","Nationally established since 1932 by Vishnu Talwalkar. India's largest gym chain — 211+ branches across 85 cities, 200,000+ members. Listed on BSE/NSE. David Lloyd UK invested Rs. 100 Cr in 2014. Top 3 health club chain in Asia. ET500 company. Bani Park branch: 4.1/5 Justdial (439 ratings, 138 photos). Certified Master Trainers, dieticians, and physiotherapists on staff.",4,1/1/1932
JPR001,Gold's Gym Vaishali Nagar,,+91 91166 42929,,"ADDRESS: D-4, 1st, 2nd, 3rd Floor, Opposite Jal Mahal Icecream, Gurudwara Road, Vaishali Nagar, Jaipur, Rajasthan 302021
ESTABLISHED: 2002 (Gold's Gym India national franchise; Jaipur Vaishali branch active since ~2018)
MEMBERSHIP FEES: Rs. 25,000/year | Rs. 30,000/year (discounted offer)
RATING: 4.6/5 Justdial (375 ratings, 130 photos) | 5.0/5 Growfitter (11 reviews) | #1 Most Popular Gym in Jaipur per bestjaipur.com
HOURS: 5:30 AM – 11:00 PM, 7 Days Open
SERVICES: Strength Training, Cardio, CrossFit, Yoga, Zumba, Bodybuilding, Aerobics, Martial Arts, Weight Loss/Gain Programs, Personal Training, Steam Room
FACILITIES: Fully AC, Steam, Free Wi-Fi, Locker Room, Shower, Changing Room, TV, Valet Parking, Medical Kit, Music
SOCIAL: goldsgym.in | Instagram active
NATIONAL INSIGHT: Gold's Gym entered India in 2002 and now operates 120+ locations. Holds 2 Lions Club awards for Best Fitness Chain, ET Award for Marketing Excellence 2013. Jaipur Vaishali Nagar branch is the most premium and popular gym in the city—rated for security standards, professional trainers, hygiene and peer quality.
REVIEWS: Trainers/staff praised highly (Priya mentioned multiple times). Well-maintained equipment. Clean environment. Some reviews flag less personal attention without personal training package.","Multi-floor premium gym (1st, 2nd, 3rd floors) in Vaishali Nagar. Fully AC with services including Strength Training, Cardio, CrossFit, Yoga, Zumba, Bodybuilding, Aerobics, Martial Arts, Weight Loss/Gain programs, Personal Training, and Steam Room. Open 5:30 AM–11 PM, 7 days. 130+ photos on Justdial confirming extensive, well-documented facilities.","#1 Most Popular Gym in Jaipur per bestjaipur.com. 4.6/5 Justdial (375 ratings, 130 photos). 5.0/5 Growfitter (11 reviews). Holds 2 Lions Club Awards for Best Fitness Chain and an ET Marketing Excellence Award 2013. Part of the global Gold's Gym franchise (120+ India locations). Trainer Priya praised multiple times by name. Vaishali Nagar branch rated best in class for security, hygiene, and peer quality.",5,1/1/2018
JPR002,Gold's Gym Malviya Nagar,,+91 74140 86086,,"ADDRESS: SDC Building, 4th & 5th Floor, Calgiri Marg, Near Cafe Coffee Day, Mauji Colony, Malviya Nagar, Jaipur, Rajasthan 302017
ESTABLISHED: Gold's Gym India franchise (est. 2002 nationally); Malviya Nagar branch active per review history
MEMBERSHIP FEES: Rs. 27,095/year
RATING: 4.2/5 Justdial (388 ratings, 40 photos) | 4.6/5 Growfitter (12 reviews) | 4.3/5 Google (275 reviews)
HOURS: Mon–Sun 6:00 AM – 10:00 PM (7 Days)
SERVICES: Gym, Bodybuilding, Yoga, Zumba, Aerobics, Martial Arts, Weight Loss, Strength Training, Personal Training
FACILITIES: Fully AC, Music, Shower, Locker Room, Changing Room, TV, Mobile Charging Point, Medical Kit, Parking
SOCIAL: Website: goldsgym.in | Google Business active
NATIONAL INSIGHT: Second Gold's Gym location in Jaipur serving the Malviya Nagar commercial-residential hub. Gaurav Tower location has high foot traffic being one of Jaipur's busiest commercial complexes.
REVIEWS: Trainer Kapil Fauzdar Sir, Naresh Sir, Narsi Sir, Suryaveer Sir praised. Members describe strong push culture and results. Some rating drag due to crowding at peak hours.","Multi-floor gym (4th & 5th floors) in the SDC Building, Malviya Nagar. Offers Gym, Bodybuilding, Yoga, Zumba, Aerobics, Martial Arts, Weight Loss/Gain, Strength Training, and Personal Training. Fully AC, Music, Shower, Locker Room, Changing Room, TV, Mobile Charging, Medical Kit, and Parking. Open 6 AM–10 PM, 7 days.","Second Gold's Gym in Jaipur serving Malviya Nagar. 4.2/5 Justdial (388 ratings, 40 photos), 4.3/5 Google (275 reviews), 4.6/5 Growfitter (12 reviews). Trainers Kapil Fauzdar, Naresh, Narsi, and Suryaveer praised for pushing members toward results. Some crowding noted at peak hours. Rs. 27,095/year membership.",4,1/1/2019
JPR003,Fitness Pro Elite,Shivraj Chandel,+91 97835 00220,srchandel@thefitnesspro.in,"ADDRESS (MAIN): Plot No.273, Above Home Furnishing Showroom, Near IPS School, Shipra Path, Mansarovar, Jaipur, Rajasthan 302020
ALT ADDRESS: Sector 3, Kiran Path Chouraha, Shipra Path, Near Gyan Asharam School, Mansarovar, Jaipur 302020
BRANCHES: Gujar Ki Thadi | Nirman Nagar | Mansarovar | Patrakar Colony (coming soon)
ESTABLISHED: 10+ years (owner has 10+ years of fitness training experience)
MEMBERSHIP FEES: Affordable pricing (contact gym for rates)
RATING: 4.8/5 Justdial (1,792 ratings, 156 photos) – HIGHEST rated gym in Jaipur on Justdial
HOURS: Standard gym hours; multi-branch operations
SERVICES: Gym (3-floor, 3,000 sq.ft.), Swimming, Yoga, Cardio, CrossFit, HIIT, Metabolic Conditioning, Nutrition & Diet Counselling, Personal Training, Sauna, Steam Bath, Spa
FACILITIES: 3-floor gym, 10+ franchise locations across India, pool, spa, sauna, steam
OWNER BACKGROUND: Shivraj Chandel – B.P.Ed, M.P.Ed, national swimmer (15 years experience), trained 700+ coaches, Mr. Jaipur and Mr. Rajasthan podium positions in bodybuilding. Alt phone: +91 93144 55665. Alt email: thefitnessprojpr@gmail.com. Website: thefitnesspro.in / fitnessprogym.in
NATIONAL INSIGHT: Part of India's fast-growing multi-branch fitness studio model. 10+ franchise locations nationally. Highest Justdial rated gym in Jaipur—a direct signal of outreach for GymOS.
REVIEWS: ThreeBestRated: Fitness Pro Elite Mansarovar is a 3000 sq ft area with a three-floored gym. Proficient trainers from all over the world. Significant impact in the fitness industry. Members consistently praise transformation results, professional expertise of trainers, and clean environment.","3-floor, 3,000 sq.ft. premium gym near IPS School, Shipra Path, Mansarovar. Services: Gym, Swimming, Yoga, Aerobics, CrossFit, Zumba, Cardio, HIIT, Metabolic Conditioning, Nutrition & Diet Counselling, Personal Training, Sauna, Steam Bath, Spa. One of only a few gyms in Jaipur to offer a pool alongside a full gym floor.","Highest-rated gym in Jaipur on Justdial: 4.8/5 with 1,792 ratings and 156 photos. Owner Shivraj Chandel: B.P.Ed, M.P.Ed, national swimmer (15 yrs), trained 700+ coaches, Mr. Jaipur & Mr. Rajasthan bodybuilding titles. Brand has 10+ franchise locations nationally. ThreeBestRated: 3,000 sq.ft. facility with world-trained trainers. Website: thefitnesspro.in",5,1/1/2012
JPR004,UFC Gym Mansarovar,,+91 73000 09011,mansarovar.jaipur@ufcgym.in,"ADDRESS: 4th Floor, Sunny Trade Center, New Aatish Market, Mansarovar, Jaipur, Rajasthan 302019 (Near Mansarovar Metro Station)
ESTABLISHED: Active (one of the first biggest gyms in Rajasthan per reviews)
MEMBERSHIP FEES: Rs. 35,000/year – premium tier
RATING: 4.6/5 Justdial (422 ratings, 12 photos)
HOURS: 6:00 AM – 10:00 PM, 7 Days Open
SERVICES: MMA Training, UFC Octagon, Pilates, Spinning (indoor cycling), CrossFit, Functional Workouts, Strength Training, Cardio, HIIT, Personal Training, Group Classes
FACILITIES: UFC-branded Octagon ring, premium MMA equipment, multi-floor layout, AC. Alt phone: +91 73000 09012. Website: ufcgym.in
SOCIAL: Instagram: @ufcgymmansarovar | UFC GYM India: 27K+ Instagram followers
NATIONAL INSIGHT: UFC Gym is a US-based global franchise (subsidiary of WME-IMG/Endeavor). In India operated by licensed partners. One of only a few UFC Gym locations in Rajasthan. Positioned at Rs. 35K/year placing it in top 2% of gym pricing in Jaipur – direct competitor to Gold's Gym.
REVIEWS: Justdial review: World-class excellent equipment, one of the first biggest gyms in Rajasthan. Owners, staff and coaches are professional. Signature UFC classes considered best in Jaipur. Some reviews mention overpricing for non-MMA focused members.","Multi-floor combat sports and fitness facility on the 4th floor of Sunny Trade Center, Mansarovar, near Metro Station. Offers MMA, UFC Octagon training, Pilates, Spinning (indoor cycling), CrossFit, Functional Workouts, Strength Training, HIIT, Cardio, and Personal Training. Premium AC facility open 6 AM–10 PM, 7 days.","US-based global franchise (Endeavor/WME-IMG). One of only 2 UFC Gym locations in Jaipur. 4.6/5 Justdial (422 ratings, 12 photos). Rs. 35,000/year premium pricing. Mansarovar Metro Station proximity gives strong footfall advantage. Known for world-class UFC-branded Octagon. Instagram: @ufcgymmansarovar. Website: ufcgym.in. Email: mansarovar.jaipur@ufcgym.in",5,1/1/2018
JPR005,Kleanfit Iconic,,+91 90246 62515,info.kleanfitcscheme@gmail.com,"ADDRESS: 3rd Floor, Crystal Palm Mall, 22 Godown Circle, Near Sahkar Bhawan, Sardar Patel Marg, C-Scheme, Jaipur, Rajasthan 302001
ESTABLISHED: Active (multi-branch Jaipur chain; Malviya Nagar branch older, C-Scheme Iconic is flagship)
MEMBERSHIP FEES: Rs. 23,000/year | Rs. 15,000–20,000/year range
RATING: 4.6/5 Justdial (829 ratings, 36 photos)
HOURS: Mon–Sat 5:00 AM – 11:30 PM | Sun 8:00 AM – 8:00 PM
SERVICES: Gym, Functional Training, TRX, CrossFit, Aerobics, Zumba, HIIT, Pilates, Group Fitness Classes, Yoga, Health Cafe, Diet & Nutrition
FACILITIES: Health Cafe on-premises, multiple class studios, AC, fully equipped free weights & machines
SOCIAL: Facebook: kleanfitcscheme (4+ reviews) | klean-fit.com | Instagram: kleanfitcscheme
ALT PHONES: +91 96507 67950, +91 83858 08585, +91 95098 57238
BRANCH: KleanFit Malviya Nagar – E-62, Girdhar Marg, Near Reliance Fresh, Malviya Nagar, Jaipur 302017
NATIONAL INSIGHT: Best Jaipur gym citing Kleanfit Iconic as Jaipur's Biggest Fitness Collaboration (Kleanfit x The Correct). Health Cafe differentiator mirrors premium global gym model. C-Scheme location in heart of Jaipur's business district targets white-collar professionals.
REVIEWS: Members praise diverse group classes, clean gym, friendly and helpful trainers (Neelam mam cited for diet charts). One member: I have been here for 6 months, best place to exercise. Easy to use machines and so many group classes.","3rd floor flagship gym in Crystal Palm Mall, C-Scheme. Services: Gym, Functional Training, TRX, CrossFit, Aerobics, Zumba, HIIT, Pilates, Group Fitness, Yoga, Personal Training, and on-premises Health Café offering diet snacks and nutrition products. Open Mon–Sat 5 AM–11:30 PM, Sun 8 AM–8 PM.","4.6/5 Justdial (829 ratings, 36 photos). Kleanfit Iconic is Jaipur's largest fitness collaboration (KleanFit x The Correct). Health Café differentiator mirrors global premium gym model. Coaches Harish, Fardeen, Aamir, and Nitesh Saini praised by name. Member Nitesh's stroke recovery under trainer guidance cited as a transformational case. Rs. 23,000/year membership.",5,1/1/2016
JPR006,O2 Gym Jaipur,,,,"ADDRESS: Narayan Tower, Ramnagaria Extension A-Block, Hightension Line Road, Near D-Mart, Jagatpura, Jaipur, Rajasthan 302017
ESTABLISHED: Active (Instagram: @o2gymjagatpura – branding as Biggest gym in India now in Jaipur)
MEMBERSHIP FEES: Rs. 30,000/year – luxury tier
RATING: 5.0/5 (383 Google reviews) | 4.8/5 Justdial (857 ratings) – among top 3 rated gyms in Jaipur
HOURS: 5:30 AM – 11:00 PM, 7 Days Open
SERVICES: Yoga, Zumba, Cardio, CrossFit, Weight Training, HIIT, Aerobics, Personal Training, Diet Counselling. Dumbbells up to 100kg available.
FACILITIES: Luxury environment, AC, sanitized restrooms, premium machines, multiple package tiers. Website: o2gymindia.com
SOCIAL: Instagram: @o2gymjagatpura | Facebook: O2 Gym Jaipur
NATIONAL INSIGHT: O2 Gym represents the emerging luxury gym category growing in Tier-1 Indian cities. Rs. 30K/year pricing targets high-income households in Jagatpura–a fast-growing upscale residential zone near Jaipur airport and IT sector.
REVIEWS: vaibhav sharma: One of the best gyms in Jaipur, all types of machines and dumbbells up to 100kg. NITIN SINGH: Best coaches team, super hygiene, advanced equipment. Justdial: Sanitized restrooms, personalized trainers, vibrant atmosphere, multiple package options.","Luxury gym in Narayan Tower, near D-Mart, Jagatpura. Offers Yoga, Zumba, Cardio, CrossFit, Weight Training, HIIT, Aerobics, Personal Training, and Diet Counselling. Dumbbells up to 100 kg available. Multiple membership tiers. Open 5:30 AM–11 PM, 7 days. Premium AC facility with sanitized restrooms.","5.0/5 Google (383 reviews), 4.8/5 Justdial (857 ratings) — top 3 rated gyms in Jaipur. Rs. 30,000/year luxury pricing. Instagram: @o2gymjagatpura. Website: o2gymindia.com. Positioned as the 'Biggest Gym in India' per branding. Jagatpura is Jaipur's IT and airport corridor — fast-growing upscale residential zone. Members report dumbbells up to 100 kg and multiple class options.",5,1/1/2019
JPR007,Anytime Fitness C-Scheme,,,,"ADDRESS: D-38A, The Landmark Building, Ahinsa Circle, Subhash Marg, C-Scheme, Jaipur, Rajasthan 302001
ESTABLISHED: Anytime Fitness entered India in 2012; C-Scheme branch one of earliest Jaipur locations
MEMBERSHIP FEES: Rs. 18,000/year
RATING: 4.5/5 Justdial (1,048 ratings, 39 photos)
HOURS: 5:00 AM – 11:00 PM, 7 Days | 24/7 ACCESS (global chain benefit)
SERVICES: Strength Training, Cardio, Personal Training, Group Classes, 24/7 Access, Global Gym Reciprocity (5,500+ gyms worldwide), Fitness Consultation (free), Nutrition Guidance
FACILITIES: 24-hour security, HDTVs, private restrooms, showers, convenient parking, Anytime Fitness Coaching App
SOCIAL: Facebook: AFJaipurRJ | Website: anytimefitness.co.in | LinkedIn: Anytime Fitness Jaipur (37 followers)
BRANCHES IN JAIPUR: C-Scheme | Vaishali Nagar | Malviya Nagar | Vidhyadhar Nagar | Raja Park | Mansarovar (6 Jaipur locations)
NATIONAL INSIGHT: Anytime Fitness is the world's largest gym chain — 5,000+ locations across 40+ countries. India: 125+ locations. Jaipur has 6 AF branches, highest franchise density in Rajasthan. 24/7 model revolutionized Indian gym culture, targeting working professionals.
REVIEWS: Trainers Nikunj Khatri, Harsh Khatri, Shahrukh Sir, Devendra Kumawat praised by name. Free 1-day pass to try. Some complaints about membership commitment handling. Generally strong trust scores.","Premium 24/7 gym at The Landmark Building, Ahinsa Circle, C-Scheme. Services: Strength Training, Cardio, Personal Training, Group Classes, Free Fitness Consultation, Nutrition Guidance, 24/7 Smart Key Access, and Global Reciprocity (5,500+ gyms worldwide). Open 5 AM–11 PM staffed; 24/7 key access. Coaching App included.","4.5/5 Justdial (1,048 ratings, 39 photos) — highest review count among all Anytime Fitness Jaipur branches. World's largest gym chain (5,500+ locations, 40+ countries). 6 AF branches in Jaipur — highest franchise density in Rajasthan. Trainers Nikunj Khatri, Harsh Khatri, Shahrukh Sir, Devendra Kumawat praised. Facebook: AFJaipurRJ. Rs. 18,000/year membership.",5,1/1/2014
